document_number,title,type,publication_date,abstract,agency_names,agencies_full,html_url,pdf_url,public_inspection_pdf_url,source,text,has_abstract,title_length,abstract_length,agency_count,policy_stage,industry_tags,states,policy_stage_score,industry_score,text_score,geography_score,opportunity_score
2026-06156,Self-Regulatory Organizations; NYSE American LLC; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Modify the NYSE American Options Fee Schedule Regarding Certain Fees and Rebates Applicable to Non-Customers and Floor Brokers,Notice,2026-03-31,,Securities and Exchange Commission,"[{""raw_name"": ""SECURITIES AND EXCHANGE COMMISSION"", ""name"": ""Securities and Exchange Commission"", ""id"": 466, ""url"": ""https://www.federalregister.gov/agencies/securities-and-exchange-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/466"", ""parent_id"": null, ""slug"": ""securities-and-exchange-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06156/self-regulatory-organizations-nyse-american-llc-notice-of-filing-and-immediate-effectiveness-of-a,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06156.pdf,https://public-inspection.federalregister.gov/2026-06156.pdf?1774874712,federal_register,Self-Regulatory Organizations; NYSE American LLC; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Modify the NYSE American Options Fee Schedule Regarding Certain Fees and Rebates Applicable to Non-Customers and Floor Brokers ,False,250,0,1,Notice,[],[],1,0,0,0,1
2026-06182,Agency Information Collection Activities: Comment Request,Notice,2026-03-31,,Social Security Administration,"[{""raw_name"": ""Social Security Administration"", ""name"": ""Social Security Administration"", ""id"": 470, ""url"": ""https://www.federalregister.gov/agencies/social-security-administration"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/470"", ""parent_id"": null, ""slug"": ""social-security-administration""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06182/agency-information-collection-activities-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06182.pdf,https://public-inspection.federalregister.gov/2026-06182.pdf?1774874715,federal_register,Agency Information Collection Activities: Comment Request ,False,57,0,1,Notice,[],[],1,0,0,0,1
2026-06154,"Self-Regulatory Organizations; Cboe Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Apply Its Wide Market Protection Mechanism on a Trading Session-By-Trading Session Basis",Notice,2026-03-31,,Securities and Exchange Commission,"[{""raw_name"": ""SECURITIES AND EXCHANGE COMMISSION"", ""name"": ""Securities and Exchange Commission"", ""id"": 466, ""url"": ""https://www.federalregister.gov/agencies/securities-and-exchange-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/466"", ""parent_id"": null, ""slug"": ""securities-and-exchange-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06154/self-regulatory-organizations-cboe-exchange-inc-notice-of-filing-and-immediate-effectiveness-of-a,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06154.pdf,https://public-inspection.federalregister.gov/2026-06154.pdf?1774874712,federal_register,"Self-Regulatory Organizations; Cboe Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Apply Its Wide Market Protection Mechanism on a Trading Session-By-Trading Session Basis ",False,214,0,1,Notice,[],[],1,0,0,0,1
2026-06184,Advancing the Use of Digital Health Technologies in Clinical Investigations for Drugs and Biological Products; Request for Information and Comments,Notice,2026-03-31,"Digital health technologies (DHTs) used for remote data acquisition are playing a growing role in health care and offer important opportunities in clinical research. As outlined in the sixth reauthorization of the Prescription Drug User Fee Act (PDUFA VII) included as part of the FDA User Fee Reauthorization Act of 2022, the Center for Drug Evaluation and Research (CDER) and the Center for Biologics Evaluation and Research (CBER) have committed to supporting the use of DHTs in drug and biological product development. To inform potential FDA activities in this area, CDER and CBER are requesting information to better understand the opportunities and challenges sponsors and other interested parties face in making innovative use of DHTs in clinical investigations of drugs and biological products.","Health and Human Services Department, Food and Drug Administration","[{""raw_name"": ""DEPARTMENT OF HEALTH AND HUMAN SERVICES"", ""name"": ""Health and Human Services Department"", ""id"": 221, ""url"": ""https://www.federalregister.gov/agencies/health-and-human-services-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/221"", ""parent_id"": null, ""slug"": ""health-and-human-services-department""}, {""raw_name"": ""Food and Drug Administration"", ""name"": ""Food and Drug Administration"", ""id"": 199, ""url"": ""https://www.federalregister.gov/agencies/food-and-drug-administration"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/199"", ""parent_id"": 221, ""slug"": ""food-and-drug-administration""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06184/advancing-the-use-of-digital-health-technologies-in-clinical-investigations-for-drugs-and-biological,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06184.pdf,https://public-inspection.federalregister.gov/2026-06184.pdf?1774874715,federal_register,"Advancing the Use of Digital Health Technologies in Clinical Investigations for Drugs and Biological Products; Request for Information and Comments Digital health technologies (DHTs) used for remote data acquisition are playing a growing role in health care and offer important opportunities in clinical research. As outlined in the sixth reauthorization of the Prescription Drug User Fee Act (PDUFA VII) included as part of the FDA User Fee Reauthorization Act of 2022, the Center for Drug Evaluation and Research (CDER) and the Center for Biologics Evaluation and Research (CBER) have committed to supporting the use of DHTs in drug and biological product development. To inform potential FDA activities in this area, CDER and CBER are requesting information to better understand the opportunities and challenges sponsors and other interested parties face in making innovative use of DHTs in clinical investigations of drugs and biological products.",True,147,803,2,Notice,['healthcare'],[],1,1,2,0,4
2026-06169,"Information Collection: Scheduling Information for the Licensing of Accident Tolerant, Higher Burnup, and Increased Enrichment Fuels",Notice,2026-03-31,"The U.S. Nuclear Regulatory Commission (NRC) has recently submitted a request for renewal of an existing collection of information to the Office of Management and Budget (OMB) for review. The information collection is entitled, ""Scheduling Information for the Licensing of Accident Tolerant, Higher Burnup, and Increased Enrichment Fuels.""",Nuclear Regulatory Commission,"[{""raw_name"": ""NUCLEAR REGULATORY COMMISSION"", ""name"": ""Nuclear Regulatory Commission"", ""id"": 383, ""url"": ""https://www.federalregister.gov/agencies/nuclear-regulatory-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/383"", ""parent_id"": null, ""slug"": ""nuclear-regulatory-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06169/information-collection-scheduling-information-for-the-licensing-of-accident-tolerant-higher-burnup,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06169.pdf,https://public-inspection.federalregister.gov/2026-06169.pdf?1774874714,federal_register,"Information Collection: Scheduling Information for the Licensing of Accident Tolerant, Higher Burnup, and Increased Enrichment Fuels The U.S. Nuclear Regulatory Commission (NRC) has recently submitted a request for renewal of an existing collection of information to the Office of Management and Budget (OMB) for review. The information collection is entitled, ""Scheduling Information for the Licensing of Accident Tolerant, Higher Burnup, and Increased Enrichment Fuels.""",True,132,339,1,Notice,[],[],1,0,1,0,2
2026-06219,Proposed Collection; Comment Request,Notice,2026-03-31,"In compliance with the Paperwork Reduction Act of 1995, the Naval Sea Systems Command announces a proposed public information collection and seeks public comment on the provisions thereof. Comments are invited on: whether the proposed collection of information is necessary for the proper performance of the functions of the agency, including whether the information shall have practical utility; the accuracy of the agency's estimate of the burden of the proposed information collection; ways to enhance the quality, utility, and clarity of the information to be collected; and ways to minimize the burden of the information collection on respondents, including through the use of automated collection techniques or other forms of information technology.","Defense Department, Navy Department","[{""raw_name"": ""DEPARTMENT OF DEFENSE"", ""name"": ""Defense Department"", ""id"": 103, ""url"": ""https://www.federalregister.gov/agencies/defense-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/103"", ""parent_id"": null, ""slug"": ""defense-department""}, {""raw_name"": ""Department of the Navy"", ""name"": ""Navy Department"", ""id"": 378, ""url"": ""https://www.federalregister.gov/agencies/navy-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/378"", ""parent_id"": 103, ""slug"": ""navy-department""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06219/proposed-collection-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06219.pdf,https://public-inspection.federalregister.gov/2026-06219.pdf?1774874719,federal_register,"Proposed Collection; Comment Request In compliance with the Paperwork Reduction Act of 1995, the Naval Sea Systems Command announces a proposed public information collection and seeks public comment on the provisions thereof. Comments are invited on: whether the proposed collection of information is necessary for the proper performance of the functions of the agency, including whether the information shall have practical utility; the accuracy of the agency's estimate of the burden of the proposed information collection; ways to enhance the quality, utility, and clarity of the information to be collected; and ways to minimize the burden of the information collection on respondents, including through the use of automated collection techniques or other forms of information technology.",True,36,755,2,Notice,[],[],1,0,2,0,3
2026-06200,City of Aspen; Notice of Availability of Environmental Assessment,Notice,2026-03-31,,"Energy Department, Federal Energy Regulatory Commission","[{""raw_name"": ""DEPARTMENT OF ENERGY"", ""name"": ""Energy Department"", ""id"": 136, ""url"": ""https://www.federalregister.gov/agencies/energy-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/136"", ""parent_id"": null, ""slug"": ""energy-department""}, {""raw_name"": ""Federal Energy Regulatory Commission"", ""name"": ""Federal Energy Regulatory Commission"", ""id"": 167, ""url"": ""https://www.federalregister.gov/agencies/federal-energy-regulatory-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/167"", ""parent_id"": 136, ""slug"": ""federal-energy-regulatory-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06200/city-of-aspen-notice-of-availability-of-environmental-assessment,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06200.pdf,https://public-inspection.federalregister.gov/2026-06200.pdf?1774874717,federal_register,City of Aspen; Notice of Availability of Environmental Assessment ,False,65,0,2,Notice,['environment'],[],1,2,0,0,3
2026-06159,Sunshine Act Meetings,Notice,2026-03-31,,Securities and Exchange Commission,"[{""raw_name"": ""SECURITIES AND EXCHANGE COMMISSION"", ""name"": ""Securities and Exchange Commission"", ""id"": 466, ""url"": ""https://www.federalregister.gov/agencies/securities-and-exchange-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/466"", ""parent_id"": null, ""slug"": ""securities-and-exchange-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06159/sunshine-act-meetings,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06159.pdf,https://public-inspection.federalregister.gov/2026-06159.pdf?1774624514,federal_register,Sunshine Act Meetings ,False,21,0,1,Notice,[],[],1,0,0,0,1
2026-06239,Review of the Commission's Rules Governing the 896-901/935-940 MHz Band,Rule,2026-03-31,"In this document, the Federal Communications Commission (Commission or FCC) continues its efforts to expand broadband access in the 896-901/935-940 MHz band. This Report and Order now makes broadband available across all ten megahertz of this band. This Report and Order creates three options for 900 MHz licenses: a narrowband license; paired three-megahertz channels, called 3/3 broadband licenses: and paired five-megahertz channels, called 5/5 licenses.",Federal Communications Commission,"[{""raw_name"": ""FEDERAL COMMUNICATIONS COMMISSION"", ""name"": ""Federal Communications Commission"", ""id"": 161, ""url"": ""https://www.federalregister.gov/agencies/federal-communications-commission"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/161"", ""parent_id"": null, ""slug"": ""federal-communications-commission""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06239/review-of-the-commissions-rules-governing-the-896-901935-940-mhz-band,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06239.pdf,https://public-inspection.federalregister.gov/2026-06239.pdf?1774874720,federal_register,"Review of the Commission's Rules Governing the 896-901/935-940 MHz Band In this document, the Federal Communications Commission (Commission or FCC) continues its efforts to expand broadband access in the 896-901/935-940 MHz band. This Report and Order now makes broadband available across all ten megahertz of this band. This Report and Order creates three options for 900 MHz licenses: a narrowband license; paired three-megahertz channels, called 3/3 broadband licenses: and paired five-megahertz channels, called 5/5 licenses.",True,71,457,1,Rule,[],[],3,0,1,0,4
2026-06218,Submission for OMB Review; Comment Request,Notice,2026-03-31,The DoD has submitted to OMB for clearance the following proposal for collection of information under the provisions of the Paperwork Reduction Act.,"Defense Department, ","[{""raw_name"": ""DEPARTMENT OF DEFENSE"", ""name"": ""Defense Department"", ""id"": 103, ""url"": ""https://www.federalregister.gov/agencies/defense-department"", ""json_url"": ""https://www.federalregister.gov/api/v1/agencies/103"", ""parent_id"": null, ""slug"": ""defense-department""}, {""raw_name"": ""Office of the Secretary""}]",https://www.federalregister.gov/documents/2026/03/31/2026-06218/submission-for-omb-review-comment-request,https://www.govinfo.gov/content/pkg/FR-2026-03-31/pdf/2026-06218.pdf,https://public-inspection.federalregister.gov/2026-06218.pdf?1774874719,federal_register,Submission for OMB Review; Comment Request The DoD has submitted to OMB for clearance the following proposal for collection of information under the provisions of the Paperwork Reduction Act.,True,42,148,1,Notice,[],[],1,0,0,0,1
